scene_id,scene_dir,relative_scene_dir,has_B01_tif,has_B02_tif,has_B03_tif,has_B04_tif,has_B05_tif,has_B06_tif,has_B07_tif,has_B08_tif,has_B8A_tif,has_B09_tif,has_B11_tif,has_B12_tif,has_SCL_tif,has_required_ocm_inputs,has_all_12_bands,has_scl,reference_file,crs,width,height,dtype,nodata,res_x,res_y,bounds_left,bounds_bottom,bounds_right,bounds_top
S2A_MSIL2A_20220216T124321_R009_T25MBP_20220224T045448,/media/HALLOPEAU/T7/raw_backup/natal/2022/s2_planetary_multiscene_12band_v3/scenes/S2A_MSIL2A_20220216T124321_R009_T25MBP_20220224T045448,scenes/S2A_MSIL2A_20220216T124321_R009_T25MBP_20220224T045448,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,B04.tif,EPSG:32725,10980,10980,uint16,0.0,10.0,10.0,199980.0,9290200.0,309780.0,9400000.0
S2A_MSIL2A_20220626T124301_R009_T25MBP_20220627T003634,/media/HALLOPEAU/T7/raw_backup/natal/2022/s2_planetary_multiscene_12band_v3/scenes/S2A_MSIL2A_20220626T124301_R009_T25MBP_20220627T003634,scenes/S2A_MSIL2A_20220626T124301_R009_T25MBP_20220627T003634,True,True,True,True,True,True,True,True,False,False,False,False,False,True,False,False,B04.tif,EPSG:32725,10980,10980,uint16,0.0,10.0,10.0,199980.0,9290200.0,309780.0,9400000.0
S2A_MSIL2A_20220726T124301_R009_T25MBP_20220728T045212,/media/HALLOPEAU/T7/raw_backup/natal/2022/s2_planetary_multiscene_12band_v3/scenes/S2A_MSIL2A_20220726T124301_R009_T25MBP_20220728T045212,scenes/S2A_MSIL2A_20220726T124301_R009_T25MBP_20220728T045212,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,B04.tif,EPSG:32725,10980,10980,uint16,0.0,10.0,10.0,199980.0,9290200.0,309780.0,9400000.0
S2A_MSIL2A_20221004T124301_R009_T25MBP_20240712T170344,/media/HALLOPEAU/T7/raw_backup/natal/2022/s2_planetary_multiscene_12band_v3/scenes/S2A_MSIL2A_20221004T124301_R009_T25MBP_20240712T170344,scenes/S2A_MSIL2A_20221004T124301_R009_T25MBP_20240712T170344,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,B04.tif,EPSG:32725,10980,10980,uint16,0.0,10.0,10.0,199980.0,9290200.0,309780.0,9400000.0
S2A_MSIL2A_20221123T124251_R009_T25MBP_20221123T231044,/media/HALLOPEAU/T7/raw_backup/natal/2022/s2_planetary_multiscene_12band_v3/scenes/S2A_MSIL2A_20221123T124251_R009_T25MBP_20221123T231044,scenes/S2A_MSIL2A_20221123T124251_R009_T25MBP_20221123T231044,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,B04.tif,EPSG:32725,10980,10980,uint16,0.0,10.0,10.0,199980.0,9290200.0,309780.0,9400000.0
S2B_MSIL2A_20220810T124259_R009_T25MBP_20220811T151253,/media/HALLOPEAU/T7/raw_backup/natal/2022/s2_planetary_multiscene_12band_v3/scenes/S2B_MSIL2A_20220810T124259_R009_T25MBP_20220811T151253,scenes/S2B_MSIL2A_20220810T124259_R009_T25MBP_20220811T151253,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,B04.tif,EPSG:32725,10980,10980,uint16,0.0,10.0,10.0,199980.0,9290200.0,309780.0,9400000.0
S2B_MSIL2A_20221019T124249_R009_T25MBP_20240710T141534,/media/HALLOPEAU/T7/raw_backup/natal/2022/s2_planetary_multiscene_12band_v3/scenes/S2B_MSIL2A_20221019T124249_R009_T25MBP_20240710T141534,scenes/S2B_MSIL2A_20221019T124249_R009_T25MBP_20240710T141534,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,B04.tif,EPSG:32725,10980,10980,uint16,0.0,10.0,10.0,199980.0,9290200.0,309780.0,9400000.0
