scene_id,scene_dir,relative_scene_dir,has_B01_tif,has_B02_tif,has_B03_tif,has_B04_tif,has_B05_tif,has_B06_tif,has_B07_tif,has_B08_tif,has_B8A_tif,has_B09_tif,has_B11_tif,has_B12_tif,has_SCL_tif,has_required_ocm_inputs,has_all_12_bands,has_scl,reference_file,crs,width,height,dtype,nodata,res_x,res_y,bounds_left,bounds_bottom,bounds_right,bounds_top
S2A_MSIL2A_20220708T132251_R038_T23MNT_20240717T205754,/media/HALLOPEAU/T7/raw_backup/sao_luis/2022/s2_planetary_multiscene_12band_v3/scenes/S2A_MSIL2A_20220708T132251_R038_T23MNT_20240717T205754,scenes/S2A_MSIL2A_20220708T132251_R038_T23MNT_20240717T205754,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,B04.tif,EPSG:32723,10980,10980,uint16,0.0,10.0,10.0,499980.0,9690220.0,609780.0,9800020.0
S2A_MSIL2A_20220926T132241_R038_T23MNT_20240714T113310,/media/HALLOPEAU/T7/raw_backup/sao_luis/2022/s2_planetary_multiscene_12band_v3/scenes/S2A_MSIL2A_20220926T132241_R038_T23MNT_20240714T113310,scenes/S2A_MSIL2A_20220926T132241_R038_T23MNT_20240714T113310,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,B04.tif,EPSG:32723,10980,10980,uint16,0.0,10.0,10.0,499980.0,9690220.0,609780.0,9800020.0
S2B_MSIL2A_20220613T132239_R038_T23MNT_20220614T085832,/media/HALLOPEAU/T7/raw_backup/sao_luis/2022/s2_planetary_multiscene_12band_v3/scenes/S2B_MSIL2A_20220613T132239_R038_T23MNT_20220614T085832,scenes/S2B_MSIL2A_20220613T132239_R038_T23MNT_20220614T085832,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,B04.tif,EPSG:32723,10980,10980,uint16,0.0,10.0,10.0,499980.0,9690220.0,609780.0,9800020.0
S2B_MSIL2A_20220623T132239_R038_T23MNT_20220624T005515,/media/HALLOPEAU/T7/raw_backup/sao_luis/2022/s2_planetary_multiscene_12band_v3/scenes/S2B_MSIL2A_20220623T132239_R038_T23MNT_20220624T005515,scenes/S2B_MSIL2A_20220623T132239_R038_T23MNT_20220624T005515,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,B04.tif,EPSG:32723,10980,10980,uint16,0.0,10.0,10.0,499980.0,9690220.0,609780.0,9800020.0
S2B_MSIL2A_20221031T132229_R038_T23MNT_20221031T234612,/media/HALLOPEAU/T7/raw_backup/sao_luis/2022/s2_planetary_multiscene_12band_v3/scenes/S2B_MSIL2A_20221031T132229_R038_T23MNT_20221031T234612,scenes/S2B_MSIL2A_20221031T132229_R038_T23MNT_20221031T234612,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,B04.tif,EPSG:32723,10980,10980,uint16,0.0,10.0,10.0,499980.0,9690220.0,609780.0,9800020.0
S2B_MSIL2A_20221110T132229_R038_T23MNT_20221110T235854,/media/HALLOPEAU/T7/raw_backup/sao_luis/2022/s2_planetary_multiscene_12band_v3/scenes/S2B_MSIL2A_20221110T132229_R038_T23MNT_20221110T235854,scenes/S2B_MSIL2A_20221110T132229_R038_T23MNT_20221110T235854,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,B04.tif,EPSG:32723,10980,10980,uint16,0.0,10.0,10.0,499980.0,9690220.0,609780.0,9800020.0
