scene_id,scene_dir,relative_scene_dir,has_B01_tif,has_B02_tif,has_B03_tif,has_B04_tif,has_B05_tif,has_B06_tif,has_B07_tif,has_B08_tif,has_B8A_tif,has_B09_tif,has_B11_tif,has_B12_tif,has_SCL_tif,has_required_ocm_inputs,has_all_12_bands,has_scl,reference_file,crs,width,height,dtype,nodata,res_x,res_y,bounds_left,bounds_bottom,bounds_right,bounds_top
S2A_MSIL2A_20220324T130251_R095_T23KPQ_20240527T215348,/media/HALLOPEAU/T7/raw_backup/duque_de_caxias/2022/s2_planetary_multiscene_12band_v3/scenes/S2A_MSIL2A_20220324T130251_R095_T23KPQ_20240527T215348,scenes/S2A_MSIL2A_20220324T130251_R095_T23KPQ_20240527T215348,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,B04.tif,EPSG:32723,10980,10980,uint16,0.0,10.0,10.0,600000.0,7390240.0,709800.0,7500040.0
S2A_MSIL2A_20221209T130251_R095_T23KPQ_20221210T101354,/media/HALLOPEAU/T7/raw_backup/duque_de_caxias/2022/s2_planetary_multiscene_12band_v3/scenes/S2A_MSIL2A_20221209T130251_R095_T23KPQ_20221210T101354,scenes/S2A_MSIL2A_20221209T130251_R095_T23KPQ_20221210T101354,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,B04.tif,EPSG:32723,10980,10980,uint16,0.0,10.0,10.0,600000.0,7390240.0,709800.0,7500040.0
S2B_MSIL2A_20220118T130239_R095_T23KPQ_20220119T075413,/media/HALLOPEAU/T7/raw_backup/duque_de_caxias/2022/s2_planetary_multiscene_12band_v3/scenes/S2B_MSIL2A_20220118T130239_R095_T23KPQ_20220119T075413,scenes/S2B_MSIL2A_20220118T130239_R095_T23KPQ_20220119T075413,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,B04.tif,EPSG:32723,10980,10980,uint16,0.0,10.0,10.0,600000.0,7390240.0,709800.0,7500040.0
S2B_MSIL2A_20220309T130249_R095_T23KPQ_20220310T105932,/media/HALLOPEAU/T7/raw_backup/duque_de_caxias/2022/s2_planetary_multiscene_12band_v3/scenes/S2B_MSIL2A_20220309T130249_R095_T23KPQ_20220310T105932,scenes/S2B_MSIL2A_20220309T130249_R095_T23KPQ_20220310T105932,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,B04.tif,EPSG:32723,10980,10980,uint16,0.0,10.0,10.0,600000.0,7390240.0,709800.0,7500040.0
S2B_MSIL2A_20220428T130239_R095_T23KPQ_20220429T070446,/media/HALLOPEAU/T7/raw_backup/duque_de_caxias/2022/s2_planetary_multiscene_12band_v3/scenes/S2B_MSIL2A_20220428T130239_R095_T23KPQ_20220429T070446,scenes/S2B_MSIL2A_20220428T130239_R095_T23KPQ_20220429T070446,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,B04.tif,EPSG:32723,10980,10980,uint16,0.0,10.0,10.0,600000.0,7390240.0,709800.0,7500040.0
S2B_MSIL2A_20220518T130249_R095_T23KPQ_20220520T090139,/media/HALLOPEAU/T7/raw_backup/duque_de_caxias/2022/s2_planetary_multiscene_12band_v3/scenes/S2B_MSIL2A_20220518T130249_R095_T23KPQ_20220520T090139,scenes/S2B_MSIL2A_20220518T130249_R095_T23KPQ_20220520T090139,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,B04.tif,EPSG:32723,10980,10980,uint16,0.0,10.0,10.0,600000.0,7390240.0,709800.0,7500040.0
S2B_MSIL2A_20220617T130249_R095_T23KPQ_20220619T175605,/media/HALLOPEAU/T7/raw_backup/duque_de_caxias/2022/s2_planetary_multiscene_12band_v3/scenes/S2B_MSIL2A_20220617T130249_R095_T23KPQ_20220619T175605,scenes/S2B_MSIL2A_20220617T130249_R095_T23KPQ_20220619T175605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,B04.tif,EPSG:32723,10980,10980,uint16,0.0,10.0,10.0,600000.0,7390240.0,709800.0,7500040.0
