scene_id,scene_dir,relative_scene_dir,has_B01_tif,has_B02_tif,has_B03_tif,has_B04_tif,has_B05_tif,has_B06_tif,has_B07_tif,has_B08_tif,has_B8A_tif,has_B09_tif,has_B11_tif,has_B12_tif,has_SCL_tif,has_required_ocm_inputs,has_all_12_bands,has_scl,reference_file,crs,width,height,dtype,nodata,res_x,res_y,bounds_left,bounds_bottom,bounds_right,bounds_top
S2A_MSIL2A_20220107T124321_R009_T25MBM_20220108T021638,/media/HALLOPEAU/T7/raw_backup/recife/2022/s2_planetary_multiscene_12band_v3/scenes/S2A_MSIL2A_20220107T124321_R009_T25MBM_20220108T021638,scenes/S2A_MSIL2A_20220107T124321_R009_T25MBM_20220108T021638,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,B04.tif,EPSG:32725,10980,10980,uint16,0.0,10.0,10.0,199980.0,9090220.0,309780.0,9200020.0
S2A_MSIL2A_20220706T124301_R009_T25MBM_20220707T194138,/media/HALLOPEAU/T7/raw_backup/recife/2022/s2_planetary_multiscene_12band_v3/scenes/S2A_MSIL2A_20220706T124301_R009_T25MBM_20220707T194138,scenes/S2A_MSIL2A_20220706T124301_R009_T25MBM_20220707T194138,True,True,True,True,True,True,True,True,False,False,False,False,False,True,False,False,B04.tif,EPSG:32725,10980,10980,uint16,0.0,10.0,10.0,199980.0,9090220.0,309780.0,9200020.0
S2A_MSIL2A_20221004T124301_R009_T25MBM_20240712T170344,/media/HALLOPEAU/T7/raw_backup/recife/2022/s2_planetary_multiscene_12band_v3/scenes/S2A_MSIL2A_20221004T124301_R009_T25MBM_20240712T170344,scenes/S2A_MSIL2A_20221004T124301_R009_T25MBM_20240712T170344,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,B04.tif,EPSG:32725,10980,10980,uint16,0.0,10.0,10.0,199980.0,9090220.0,309780.0,9200020.0
S2B_MSIL2A_20220122T124309_R009_T25MBM_20220123T081551,/media/HALLOPEAU/T7/raw_backup/recife/2022/s2_planetary_multiscene_12band_v3/scenes/S2B_MSIL2A_20220122T124309_R009_T25MBM_20220123T081551,scenes/S2B_MSIL2A_20220122T124309_R009_T25MBM_20220123T081551,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,B04.tif,EPSG:32725,10980,10980,uint16,0.0,10.0,10.0,199980.0,9090220.0,309780.0,9200020.0
S2B_MSIL2A_20220810T124259_R009_T25MBM_20220811T155354,/media/HALLOPEAU/T7/raw_backup/recife/2022/s2_planetary_multiscene_12band_v3/scenes/S2B_MSIL2A_20220810T124259_R009_T25MBM_20220811T155354,scenes/S2B_MSIL2A_20220810T124259_R009_T25MBM_20220811T155354,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,B04.tif,EPSG:32725,10980,10980,uint16,0.0,10.0,10.0,199980.0,9090220.0,309780.0,9200020.0
S2B_MSIL2A_20220820T124249_R009_T25MBM_20220820T210115,/media/HALLOPEAU/T7/raw_backup/recife/2022/s2_planetary_multiscene_12band_v3/scenes/S2B_MSIL2A_20220820T124249_R009_T25MBM_20220820T210115,scenes/S2B_MSIL2A_20220820T124249_R009_T25MBM_20220820T210115,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,B04.tif,EPSG:32725,10980,10980,uint16,0.0,10.0,10.0,199980.0,9090220.0,309780.0,9200020.0
S2B_MSIL2A_20220919T124249_R009_T25MBM_20220920T042410,/media/HALLOPEAU/T7/raw_backup/recife/2022/s2_planetary_multiscene_12band_v3/scenes/S2B_MSIL2A_20220919T124249_R009_T25MBM_20220920T042410,scenes/S2B_MSIL2A_20220919T124249_R009_T25MBM_20220920T042410,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,B04.tif,EPSG:32725,10980,10980,uint16,0.0,10.0,10.0,199980.0,9090220.0,309780.0,9200020.0
