scene_id,scene_dir,relative_scene_dir,has_B01_tif,has_B02_tif,has_B03_tif,has_B04_tif,has_B05_tif,has_B06_tif,has_B07_tif,has_B08_tif,has_B8A_tif,has_B09_tif,has_B11_tif,has_B12_tif,has_SCL_tif,has_required_ocm_inputs,has_all_12_bands,has_scl,reference_file,crs,width,height,dtype,nodata,res_x,res_y,bounds_left,bounds_bottom,bounds_right,bounds_top
S2A_MSIL2A_20220624T133851_R124_T22MGD_20220625T050550,/media/HALLOPEAU/T7/raw_backup/belem/2022/s2_planetary_multiscene_12band_v3/scenes/S2A_MSIL2A_20220624T133851_R124_T22MGD_20220625T050550,scenes/S2A_MSIL2A_20220624T133851_R124_T22MGD_20220625T050550,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,B04.tif,EPSG:32722,10980,10980,uint16,0.0,10.0,10.0,699960.0,9790240.0,809760.0,9900040.0
S2A_MSIL2A_20220724T133851_R124_T22MGD_20240704T032003,/media/HALLOPEAU/T7/raw_backup/belem/2022/s2_planetary_multiscene_12band_v3/scenes/S2A_MSIL2A_20220724T133851_R124_T22MGD_20240704T032003,scenes/S2A_MSIL2A_20220724T133851_R124_T22MGD_20240704T032003,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,B04.tif,EPSG:32722,10980,10980,uint16,0.0,10.0,10.0,699960.0,9790240.0,809760.0,9900040.0
S2A_MSIL2A_20220902T133851_R124_T22MGD_20240728T104708,/media/HALLOPEAU/T7/raw_backup/belem/2022/s2_planetary_multiscene_12band_v3/scenes/S2A_MSIL2A_20220902T133851_R124_T22MGD_20240728T104708,scenes/S2A_MSIL2A_20220902T133851_R124_T22MGD_20240728T104708,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,B04.tif,EPSG:32722,10980,10980,uint16,0.0,10.0,10.0,699960.0,9790240.0,809760.0,9900040.0
S2A_MSIL2A_20220922T133841_R124_T22MGD_20220923T040056,/media/HALLOPEAU/T7/raw_backup/belem/2022/s2_planetary_multiscene_12band_v3/scenes/S2A_MSIL2A_20220922T133841_R124_T22MGD_20220923T040056,scenes/S2A_MSIL2A_20220922T133841_R124_T22MGD_20220923T040056,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,B04.tif,EPSG:32722,10980,10980,uint16,0.0,10.0,10.0,699960.0,9790240.0,809760.0,9900040.0
S2B_MSIL2A_20220808T133839_R124_T22MGD_20220810T082336,/media/HALLOPEAU/T7/raw_backup/belem/2022/s2_planetary_multiscene_12band_v3/scenes/S2B_MSIL2A_20220808T133839_R124_T22MGD_20220810T082336,scenes/S2B_MSIL2A_20220808T133839_R124_T22MGD_20220810T082336,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,B04.tif,EPSG:32722,10980,10980,uint16,0.0,10.0,10.0,699960.0,9790240.0,809760.0,9900040.0
S2B_MSIL2A_20220818T133839_R124_T22MGD_20220819T033036,/media/HALLOPEAU/T7/raw_backup/belem/2022/s2_planetary_multiscene_12band_v3/scenes/S2B_MSIL2A_20220818T133839_R124_T22MGD_20220819T033036,scenes/S2B_MSIL2A_20220818T133839_R124_T22MGD_20220819T033036,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,B04.tif,EPSG:32722,10980,10980,uint16,0.0,10.0,10.0,699960.0,9790240.0,809760.0,9900040.0
