scene_id,scene_dir,relative_scene_dir,has_B01_tif,has_B02_tif,has_B03_tif,has_B04_tif,has_B05_tif,has_B06_tif,has_B07_tif,has_B08_tif,has_B8A_tif,has_B09_tif,has_B11_tif,has_B12_tif,has_SCL_tif,has_required_ocm_inputs,has_all_12_bands,has_scl,reference_file,crs,width,height,dtype,nodata,res_x,res_y,bounds_left,bounds_bottom,bounds_right,bounds_top
S2A_MSIL2A_20220318T124321_R009_T24LZQ_20220319T035146,/media/HALLOPEAU/T7/raw_backup/maceio/2022/s2_planetary_multiscene_12band_v3/scenes/S2A_MSIL2A_20220318T124321_R009_T24LZQ_20220319T035146,scenes/S2A_MSIL2A_20220318T124321_R009_T24LZQ_20220319T035146,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,B04.tif,EPSG:32724,10980,10980,uint16,0.0,10.0,10.0,799980.0,8890240.0,909780.0,9000040.0
S2A_MSIL2A_20221213T124251_R009_T24LZQ_20221214T022415,/media/HALLOPEAU/T7/raw_backup/maceio/2022/s2_planetary_multiscene_12band_v3/scenes/S2A_MSIL2A_20221213T124251_R009_T24LZQ_20221214T022415,scenes/S2A_MSIL2A_20221213T124251_R009_T24LZQ_20221214T022415,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,B04.tif,EPSG:32724,10980,10980,uint16,0.0,10.0,10.0,799980.0,8890240.0,909780.0,9000040.0
S2B_MSIL2A_20220122T124309_R009_T24LZQ_20220123T084428,/media/HALLOPEAU/T7/raw_backup/maceio/2022/s2_planetary_multiscene_12band_v3/scenes/S2B_MSIL2A_20220122T124309_R009_T24LZQ_20220123T084428,scenes/S2B_MSIL2A_20220122T124309_R009_T24LZQ_20220123T084428,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,B04.tif,EPSG:32724,10980,10980,uint16,0.0,10.0,10.0,799980.0,8890240.0,909780.0,9000040.0
S2B_MSIL2A_20220201T124309_R009_T24LZQ_20220217T050458,/media/HALLOPEAU/T7/raw_backup/maceio/2022/s2_planetary_multiscene_12band_v3/scenes/S2B_MSIL2A_20220201T124309_R009_T24LZQ_20220217T050458,scenes/S2B_MSIL2A_20220201T124309_R009_T24LZQ_20220217T050458,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False,B04.tif,EPSG:32724,10980,10980,uint16,0.0,10.0,10.0,799980.0,8890240.0,909780.0,9000040.0
S2B_MSIL2A_20220810T124259_R009_T24LZQ_20220811T161806,/media/HALLOPEAU/T7/raw_backup/maceio/2022/s2_planetary_multiscene_12band_v3/scenes/S2B_MSIL2A_20220810T124259_R009_T24LZQ_20220811T161806,scenes/S2B_MSIL2A_20220810T124259_R009_T24LZQ_20220811T161806,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,B04.tif,EPSG:32724,10980,10980,uint16,0.0,10.0,10.0,799980.0,8890240.0,909780.0,9000040.0
S2B_MSIL2A_20221108T124249_R009_T24LZQ_20221109T095943,/media/HALLOPEAU/T7/raw_backup/maceio/2022/s2_planetary_multiscene_12band_v3/scenes/S2B_MSIL2A_20221108T124249_R009_T24LZQ_20221109T095943,scenes/S2B_MSIL2A_20221108T124249_R009_T24LZQ_20221109T095943,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,B04.tif,EPSG:32724,10980,10980,uint16,0.0,10.0,10.0,799980.0,8890240.0,909780.0,9000040.0
S2B_MSIL2A_20221208T124249_R009_T24LZQ_20221209T084354,/media/HALLOPEAU/T7/raw_backup/maceio/2022/s2_planetary_multiscene_12band_v3/scenes/S2B_MSIL2A_20221208T124249_R009_T24LZQ_20221209T084354,scenes/S2B_MSIL2A_20221208T124249_R009_T24LZQ_20221209T084354,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,B04.tif,EPSG:32724,10980,10980,uint16,0.0,10.0,10.0,799980.0,8890240.0,909780.0,9000040.0
